Designator,ManufacturerTU,PartNumber
"C22","","CKG57NX7R1E107M500JH"
"C23","","CKG57NX7R1E107M500JH"
"C24","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-25 Â-Í90-0,22 לךÔ+80 %-20 %-N-A"
"C25","","CKG57NX7R1E107M500JH"
"C26","","CKG57NX7R1E107M500JH"
"C27","","CKG57NX7R1E107M500JH"
"C28","","CKG57NX7R1E107M500JH"
"C29","","CKG57NX7R1E107M500JH"
"C30","","CKG57NX7R1E107M500JH"
"C31","","CKG57NX7R1E107M500JH"
"C32","","CKG57NX7R1E107M500JH"
"C33","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C34","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-4532Ì-25 Â-Í90-4,7 לךÔ+80 %-20 %-Î"
"C35","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-22 לךÔ±20 %"
"C36","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-22 לךÔ±20 %"
"C37","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-22 לךÔ±20 %"
"C38","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C39","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C40","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C41","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C42","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C43","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C44","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C45","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-4,7 לךÔ±20 %"
"C46","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-4,7 לךÔ±20 %"
"C47","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-4,7 לךÔ±20 %"
"C48","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-4,7 לךÔ±20 %"
"C49","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C50","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-4532Ì-25 Â-Í90-4,7 לךÔ+80 %-20 %-Î"
"C51","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C52","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-4532Ì-25 Â-Í90-4,7 לךÔ+80 %-20 %-Î"
"C53","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-4,7 לךÔ±20 %"
"C54","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-4,7 לךÔ±20 %"
"C55","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-4,7 לךÔ±20 %"
"C56","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-4,7 לךÔ±20 %"
"C57","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C58","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C59","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C60","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
"C61","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-22 לךÔ±20 %"
"C62","ÀÆ‗Ð.673546.001ÒÓ","Ê53-56À-16 Â-22 לךÔ±20 %"
"C63","ÀÆ‗Ð.673546.006ÒÓ","Ê53-67-10 Â-330 לךÔ±10 %"
"C64","ÔÖÒÀ.673516.016ÒÓ","Ê10-84ג-2012Ì-50 Â-Í90-0,1 לךÔ+80 %-20 %-N-A"
